Name;MSCI WORLD U$ - PRICE INDEX;;;
11/1/73;125,493;;;
11/2/73;124,542;;;
11/5/73;123,005;;;
11/6/73;122,159;;;
11/7/73;121,921;;;
11/8/73;123,148;;;
11/9/73;121,953;;;
11/12/73;120,038;;;
11/13/73;118,984;;;
11/14/73;117,332;;;
11/15/73;116,601;;;
11/16/73;117,43;;;
11/19/73;115,652;;;
11/20/73;113,836;;;
11/21/73;114,113;;;
11/22/73;113,487;;;
11/23/73;112,717;;;
11/26/73;109,898;;;
11/27/73;108,615;;;
11/28/73;110,296;;;
11/29/73;110,408;;;
11/30/73;109,548;;;
12/3/73;107,338;;;
12/4/73;107,064;;;
12/5/73;105,532;;;
12/6/73;106,085;;;
12/7/73;107,627;;;
12/10/73;107,935;;;
12/11/73;106,668;;;
12/12/73;104,652;;;
12/13/73;103,434;;;
12/14/73;103,44;;;
12/17/73;103,126;;;
12/18/73;103,744;;;
12/19/73;104,033;;;
12/20/73;104,431;;;
12/21/73;104,106;;;
12/24/73;103,293;;;
12/25/73;103,293;;;
12/26/73;105,925;;;
12/27/73;108,337;;;
12/28/73;108,44;;;
12/31/73;108,41;;;
1/1/74;108,41;;;
1/2/74;108,926;;;
1/3/74;109,853;;;
1/4/74;109,454;;;
1/7/74;108,14;;;
1/8/74;106,952;;;
1/9/74;105,305;;;
1/10/74;104,412;;;
1/11/74;105,511;;;
1/14/74;105,814;;;
1/15/74;105,796;;;
1/16/74;106,805;;;
1/17/74;108,018;;;
1/18/74;107,376;;;
1/21/74;106,458;;;
1/22/74;107,094;;;
1/23/74;107,825;;;
1/24/74;107,7;;;
1/25/74;107,954;;;
1/28/74;107,865;;;
1/29/74;107,575;;;
